source,target,source_color,target_color
itu/M.3010/2000_02_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/M.3020/2000_02_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.701/1997_08_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.701/1997_08_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.730/1992_01_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.731/1992_01_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.732/1992_01_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.733/1992_02_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.733/1992_02_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.734/1992_09_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.734/1992_09_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.735/1992_09_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.735/1992_09_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.736/1992_01_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.736/1992_01_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.737/1995_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.737/1995_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.738/1993_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.739/1993_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.739/1993_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.740/1992_09_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.740/1992_09_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.741/1995_04_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.741/1995_04_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.742/1995_04_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.742/1995_04_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.745/1993_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.745/1993_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.800/1991_03_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/M.3010/1992_10_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/Q.811/1997_06_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/Q.812/1997_06_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/Q.812/1997_06_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.200/1994_07_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.290/1995_04_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.720/1992_01_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.720/1992_01_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.724/1996_10_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.725/1995_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
iso/c068350_iso_iec_8824-1_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,#B54343,#B54343
itu/X.680/1997_12_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.680/1997_12_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.722/1992_01_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.722/1992_01_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.208/1988_11_2_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.208/1988_11_2_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.521/1993_11_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.521/1993_11_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.721/1992_02_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.721/1992_02_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/Q.821/2000_02_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/Q.821/2000_02_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.701/1992_01_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.701/1992_01_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.790/1995_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/M.3640/1992_10_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
iso/c068351_iso_iec_8824-2_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
iso/c068352_iso_iec_8824-3_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
iso/c068353_iso_iec_8824-4_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
iso/c068345_iso_iec_8825-1_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
iso/c068345_iso_iec_8825-1_2015.zip,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
iso/c068346_iso_iec_8825-2_2008.zip,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.207/1993_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.217/1995_04_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.219/1988_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.219/1988_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.227/1995_04_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.227/1995_04_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.229/1988_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.229/1988_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.296/1995_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.680/1994_07_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.680/1994_07_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.681/1994_07_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.683/1994_07_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.690/1994_07_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.690/1994_07_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.691/1995_04_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.691/1995_04_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.702/1995_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.723/1993_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.723/1993_11_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.724/1993_11_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.746/1995_04_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.746/1995_04_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.751/1995_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.860/1992_09_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.860/1992_09_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.210/1988_11_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.290/1992_01_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.210/1993_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.291/1995_04_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.291/1992_01_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.217/1992_09_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.227/1992_09_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.227/1992_09_1_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
iso/c035872_iso_iec_8348_2002e.zip,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/Q.811/2004_02_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/Q.812/2004_02_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/Q.812/2004_02_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.213/1992_09_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
iso/c030932_iso_iec_10589_2002e.zip,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
iso/c030932_iso_iec_10589_2002e.zip,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
iso/c033080_iso_iec_8208_2000e.zip,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
iso/c030931_iso_iec_8473-1_1998e.zip,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
iso/c031053_iso_iec_tr_9577_1999e.zip,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.211/1995_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.212/1995_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.214/1995_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.223/1988_11_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.224/1993_11_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.233/1993_11_1_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.273/1994_07_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.612/1992_09_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.622/1994_07_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.623/1994_07_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.625/1996_10_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.216/1994_07_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.216/1994_07_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,#7C43B5,#B54343
itu/X.225/1995_11_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
itu/X.226/1994_07_0_en..pdf,iso/s020269_iso_iec_7498-1_1994e.zip,#7C43B5,#B54343
