source,target,source_weight,target_weight
rfc/2119.txt,rfc/2119.txt,0.00388324525437911717562489144484,0.00388324525437911717562489144484
itu/G.702/1988_11_0_en..pdf,itu/G.805/2000_03_0_en..pdf,0.00371216463112932285040024282807,0.00156526699945589440124416036326
iso/c068350_iso_iec_8824-1_2015.zip,iso/c069119_iso_iec_10646_2017.zip,0.00297256566352267119837660125370,0.00205634282585083439862105869622
iso/s020269_iso_iec_7498-1_1994e.zip,itu/X.200/1994_07_0_en..pdf,0.00280530443834413507897540540625,0.00156594014025800902338569908778
itu/G.726/1990_12_0_en..pdf,itu/P.800/1996_08_0_en..pdf,0.00260523721165096654867054937199,0.00045719032996079133398387162046
itu/E.105/1992_08_0_en..pdf,itu/E.106/2003_10_0_en..pdf,0.00258855455517584048460988377371,0.00049408399667334919076050470110
itu/I.321/1991_04_0_en..pdf,itu/G.805/2000_03_0_en..pdf,0.00256794473146654180645276355222,0.00156526699945589440124416036326
itu/G.822/1988_11_0_en..pdf,itu/G.803/2000_03_0_en..pdf,0.00223337055438712663024691806868,0.00061047076331039904720926481119
iso/c069119_iso_iec_10646_2017.zip,iso/c068350_iso_iec_8824-1_2015.zip,0.00205634282585083439862105869622,0.00297256566352267119837660125370
iso/c068351_iso_iec_8824-2_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,0.00202119770003673969796520459852,0.00297256566352267119837660125370
iso/c068352_iso_iec_8824-3_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,0.00199156648974368414434232832377,0.00297256566352267119837660125370
iso/c068353_iso_iec_8824-4_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,0.00196600560544622163933192737773,0.00297256566352267119837660125370
itu/H.248/2001_07_1_en.AnnL.pdf,itu/H.248.1/2005_09_1_en..pdf,0.00192335133246218366147306522151,0.00077164375979605509016379105702
itu/G.824/1993_03_1_en..pdf,itu/G.783/1997_04_1_en..pdf,0.00156874873508258032631101919208,0.00073442000196940928746086596490
itu/X.200/1994_07_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,0.00156594014025800902338569908778,0.00297256566352267119837660125370
itu/G.805/2000_03_0_en..pdf,itu/G.709/2003_03_1_en..pdf,0.00156526699945589440124416036326,0.00061831269040242575231458577179
itu/X.680/2015_08_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,0.00145445968667569694963981330460,0.00297256566352267119837660125370
itu/X.682/2015_08_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,0.00139180299355845266823239470000,0.00297256566352267119837660125370
rfc/791.txt,itu/H.248.1/2005_09_1_en..pdf,0.00138303308810196158226690776871,0.00077164375979605509016379105702
ISOStandard: 2110,itu/V.23/1988_11_0_en..pdf,0.00136810146033411439946136933798,0.00025206119065903053984636916773
itu/E.168/1993_03_1_en..pdf,itu/E.164/1997_05_1_en..pdf,0.00133037471005736799081753396479,0.00081589281529873675363057072829
itu/E.165/1988_11_0_en..pdf,itu/E.164/1997_05_1_en..pdf,0.00132049130118235056967346263690,0.00081589281529873675363057072829
rfc/854.txt,rfc/2579.txt,0.00131601213160334614381274942474,0.00028690148760991527774819043195
iso/c068345_iso_iec_8825-1_2015.zip,iso/c068350_iso_iec_8824-1_2015.zip,0.00131049824516715545871803350053,0.00297256566352267119837660125370
itu/X.681/2015_08_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,0.00127189194605806287288740641372,0.00297256566352267119837660125370
iso/s027497_iso_iec_8072_1996e.zip,iso/c068350_iso_iec_8824-1_2015.zip,0.00125328682250774501270862426594,0.00297256566352267119837660125370
iso/c033080_iso_iec_8208_2000e.zip,itu/Q.2931/1995_02_0_en..pdf,0.00122996160313461355174935452084,0.00077577310761399735812571254456
itu/G.191/2005_09_1_en..zip,itu/G.729.1/2006_05_0_en..zip,0.00122097528055206011078637207135,0.00011403035285238800520223045876
rfc/868.txt,rfc/1305.txt,0.00121616383192775989394163183022,0.00031505260221551353210303614283
ISOStandard: 2022,iso/c068350_iso_iec_8824-1_2015.zip,0.00119795820973280582773246027983,0.00297256566352267119837660125370
rfc/822.txt,rfc/821.txt,0.00117802748832145781632263492611,0.00055061154192354380427359972217
iso/c035872_iso_iec_8348_2002e.zip,iso/c033080_iso_iec_8208_2000e.zip,0.00117015815457076344241471588248,0.00122996160313461355174935452084
iso/s020893_iso_iec_11579-1_1994e.zip,iso/c029520_iso_iec_11571_1998e.zip,0.00112496825842648383309008153219,0.00062800488341235275076279709339
rfc/542.txt,rfc/683.txt,0.00110150306552221177551487141244,0.00009045152492031473983376960168
rfc/1321.txt,rfc/3261.txt,0.00108155309318925911543640694390,0.00081502134308569166697838737079
itu/X.1035/2007_02_0_en..pdf,itu/G.9961/2010_06_1_en..pdf,0.00107147422920105352996122949349,0.00023477204473255119444342897683
rfc/11.txt,rfc/22.txt,0.00106668598419052806230977736845,0.00013939835162236064564598991833
itu/E.141/1993_03_2_en..pdf,itu/Q.764/1999_12_0_en..pdf,0.00104662530947054644055171923611,0.00023677744261557803220029361224
itu/G.692/1998_10_0_en..pdf,itu/G.663/2000_04_1_en..pdf,0.00104137433369816401196317201538,0.00086407861009398000476378065571
rfc/1186.txt,rfc/1320.txt,0.00103511909314293036078746812478,0.00061488906559965068529538534392
itu/Y.101/2000_03_0_en..pdf,itu/Y.1910/2008_09_0_en..pdf,0.00102851440896327135481047587717,0.00015452541065677592030391807043
itu/X.683/2015_08_0_en..pdf,iso/c068350_iso_iec_8824-1_2015.zip,0.00102835038247633134625425022080,0.00297256566352267119837660125370
