source,target
ITU G.983.2,ITU G.983.1
RFC 1906,RFC 2579
ITU P.310,ITU G.131
ITU G.984.1,ITU G.984.2
ITU G.7710,ITU G.806
ITU X.735,ITU X.701
ITU T.124,ITU H.323
ISO 10164-6,ITU X.701
ISO 10039,ISO 8208
RFC 2753,ITU G.8080
RFC 2782,ITU H.323
ITU G.8013,ITU G.8021
RFC 2822,RFC 3261
ITU E.195,ITU E.169.1
ITU Q.933,ISO 9577
RFC 851,RFC 852
RFC 3775,RFC 5226
ITU Z.161,ITU Z.110
ITU G.705,ITU G.783
RFC 1067,RFC 1212
RFC 3041,RFC 3513
ITU Q.2951,ITU Q.2961.1
RFC 867,RFC 1305
RFC 2430,RFC 2702
ISO 15486,ISO 22092
RFC 1166,ISO 8208
RFC 2680,ITU Y.1541
ITU X.32,ISO 8208
RFC 1777,RFC 2543
RFC 2581,RFC 2914
ITU V.14,ITU H.248.1
ISO 11801,ITU K.51
ITU G.807,ITU Y.2011
RFC 742,RFC 790
ITU X.411,ITU X.509
ITU Q.700,ITU Q.708
ITU Q.2762,ITU I.371
RFC 1010,RFC 1042
RFC 772,RFC 780
RFC 2138,RFC 2753
ITU X.400,ITU X.509
RFC 3979,RFC 5741
ITU G.800,ITU G.872
RFC 2863,ITU G.984.4
ITU F.710,ITU F.700
ITU A.8,ITU T.55
RFC 1172,RFC 1220
RFC 2597,ITU Y.1541
RFC 3376,ITU G.9961
ITU K.76,ITU K.43
ITU K.70,ITU K.61
ISO 10181-1,ITU X.903
RFC 2003,RFC 3775
ISO 6523-1,ISO 8348
ITU M.1510,ITU M.1400
RFC 2464,RFC 2462
ITU G.986,ITU G.652
RFC 1436,RFC 2616
ITU X.511,ITU X.509
ITU Y.1910,ITU Y.2012
ITU G.8272,ITU G.703
RFC 2404,RFC 2406
ISO 10918-1,ITU T.4
ITU H.248.25,ITU H.248.28
RFC 3611,ITU H.248.1
RFC 765,RFC 790
ITU X.28,ITU X.121
RFC 2048,RFC 2045
ITU G.9963,ITU G.9960
ITU V.21,ITU H.248.1
ITU J.122,ITU G.9960
RFC 2833,RFC 3264
ITU I.324,ITU G.805
RFC 1662,ITU G.707
RFC 31,RFC 740
ITU X.730,ITU X.701
ISO 9594,ITU X.509
ISO 10164-1,ITU X.701
ITU F.851,ITU E.212
ITU X.292,ITU X.290
ITU G.992.2,ITU M.1400
ISO 9596-1,ITU X.722
RFC 2094,RFC 2627
RFC 2277,RFC 3261
ISO 11577,ISO 8208
ITU G.972,ITU G.977
ITU O.131,ITU P.58
ITU P.501,ITU G.191
ITU X.724,ITU M.3010
ISO 9646-3,ITU X.290
ITU Q.1400,ITU H.248.1
ISO 13869,ISO 13873
ITU G.743,ITU G.783
ISO 2047,ISO 10646
ISO 9594-3,ITU X.509
RFC 2236,ITU J.122
ITU E.129,ITU E.164
RFC 1422,RFC 1700
ITU X.300,ISO 8348
RFC 2727,RFC 2777
RFC 1267,RFC 1812
RFC 2223,RFC 5741
RFC 1907,RFC 2580
RFC 1242,RFC 1944
ITU T.140,ITU H.323
ITU G.808.1,ITU G.806
RFC 998,RFC 1072
ITU M.1401,ITU M.3020
ISO 11172,ITU H.222.0
ITU X.902,ITU G.851.1
RFC 919,ITU Y.1541
RFC 2047,RFC 2045
RFC 4306,ITU Y.2111
ITU L.51,ITU L.50
ITU X.291,ITU X.290
ISO 10181-2,ITU X.501
ITU X.214,ITU T.123
ITU K.85,ITU K.21
ITU X.229,ITU Q.763
RFC 734,RFC 1700
ITU M.2120,ITU G.784
ISO 7350,ISO 8824-1
ISO 9979,ITU H.225.0
RFC 3985,ITU H.245
RFC 1445,RFC 1448
ITU G.7042,ITU G.707
ITU V.32,ITU H.248.1
RFC 3453,RFC 3452
ITU G.987,ITU G.664
ISO 11172-3,ITU H.245
RFC 781,RFC 1305
ITU K.64,ITU K.50
RFC 5246,ITU J.366.4
RFC 1945,RFC 2616
ITU H.248.30,ITU H.248.1
ITU G.964,ITU G.803
ISO 10021,RFC 1700
ITU Q.2723.1,ITU Q.2761
ISO 14136,ISO 11572
ITU Q.1300,ITU E.800
ITU T.6,ITU T.30
ITU L.40,ITU L.25
ITU M.2100,ITU G.826
ISO 13864,ISO 13865
ITU M.3050.1,ITU Y.2201
RFC 950,RFC 1700
ISO 19785,ISO 8824-1
ITU G.709.1,ITU G.959.1
ITU G.706,ITU G.781
RFC 1944,RFC 2544
ITU Y.3500,ITU X.1601
RFC 2403,RFC 2406
ITU K.43,ITU K.48
ITU G.989.2,ITU G.652
RFC 4291,RFC 4960
ITU M.3013,ITU M.3010
ITU G.852.1,ITU G.851.1
ITU G.720.1,ITU G.729
RFC 1903,RFC 1905
RFC 4346,ITU T.123
RFC 3246,RFC 3588
ITU X.140,ITU X.144
ITU I.363.1,ITU H.248.1
ITU I.241.5,ISO 11574
RFC 3978,RFC 5226
RFC 3851,ITU Y.2701
ITU I.357,ITU I.371
ITU V.4,ITU V.80
ITU K.48,ITU K.76
ISO 10167,ITU X.210
ITU J.61,ITU P.910
ITU E.164.3,ITU E.164
ITU T.100,ISO 8824-1
ITU G.766,ITU G.114
ITU H.810,ITU H.812.3
ITU Q.811,ITU M.3010
ISO 10000-1,ITU X.290
RFC 2282,RFC 2727
ITU G.8271,ITU G.703
RFC 2478,ITU T.123
ITU X.2,ISO 8208
ITU G.874,ITU G.798
RFC 2113,RFC 2402
ITU G.991.2,ITU G.707
ITU G.651.1,ITU G.650.2
ITU I.411,ITU G.995.1
ITU Y.1711,ITU Y.2011
RFC 1435,RFC 4787
ISO 9072-1,ITU X.701
ITU M.3600,ITU I.610
ITU E.152,ITU E.168
ITU H.248.7,ITU H.248.1
RFC 2315,RFC 3713
RFC 2627,RFC 2887
RFC 1994,RFC 2284
ITU Q.2957,ITU Q.2961.1
RFC 3270,ITU Y.1711
ITU H.248.16,ITU H.248.70
ITU X.1,ITU H.248.1
RFC 1521,RFC 1700
ISO 11544,ITU T.4
ITU Q.1711,ITU Q.65
ISO 8823-1,ITU X.691
ITU Y.1901,ITU Y.2012
ISO 9594-5,ITU X.509
ITU A.25,ITU A.5
ITU A.6,ITU A.5
RFC 524,RFC 561
RFC 561,RFC 753
ITU P.80,ITU P.830
ITU Y.1731,ITU G.8021
RFC 852,RFC 851
ITU M.2110,ITU M.20
ITU M.75,ITU M.1510
RFC 1141,RFC 1812
ISO 8881,ISO 8208
ITU I.230,ITU Q.931
ITU G.680,ITU G.798
ITU G.751,ITU G.703
ITU X.811,ITU X.501
RFC 1587,RFC 1700
ITU Q.1303,ITU Q.1300
RFC 2747,RFC 2753
ISO 16824,ISO 16825
RFC 2598,ITU Y.1541
ITU T.5,ISO 8824-1
ITU TF.460-5,ISO 8824-1
ISO 80000-1,ITU G.652
ISO 2014,ITU X.208
RFC 1323,RFC 1700
ITU G.1000,ITU Y.1541
RFC 2069,RFC 3261
ITU Z.110,ITU Z.100
RFC 2136,RFC 3041
RFC 2309,RFC 2914
ITU G.921,ITU G.955
ITU G.111,ITU G.191
ISO 9596,ITU X.722
ITU T.42,ITU T.4
RFC 934,RFC 2045
ITU K.34,ITU K.43
RFC 1543,RFC 2048
ITU K.82,ITU K.44
RFC 2914,RFC 3261
RFC 3279,ITU X.509
RFC 1888,ISO 8348
ITU J.201,ITU J.200
ITU Q.703,ITU Q.2761
ITU O.171,ITU G.823
ITU G.65,ITU G.652
ITU M.1550,ITU M.20
RFC 22,RFC 21
RFC 816,RFC 1058
ITU G.965,ITU G.803
ITU X.216,ITU X.207
ITU G.984.3,ITU G.707
ITU H.248.59,ITU H.248.47
ITU O.151,ITU G.703
RFC 2974,RFC 3264
ITU G.192,ITU G.191
RFC 2547,RFC 4026
ITU G.984,ITU G.664
ITU Q.708,ITU Q.811
ITU Y.2091,ITU Y.2012
ITU X.31,ISO 8208
ITU G.701,ITU G.703
ITU O.181,ITU G.707
ITU G.984.4,ITU G.984.1
ITU P.341,ITU G.191
ITU J.343,ITU P.800.1
ITU G.8011,ITU G.8021
ITU M.1560,ITU M.20
ISO 11569,ITU V.24
RFC 983,RFC 1006
ITU G.8262,ITU G.781
ITU Q.2100,ITU Q.2761
ISO 15432,ISO 5428
ITU G.742,ITU G.703
ITU O.133,ITU O.9
ITU X.519,ITU X.509
ITU I.432,ITU M.1400
ITU G.873.1,ITU G.709
ISO 8859,ISO 10646
RFC 2407,RFC 2663
ITU Q.1902.3,ITU Q.1902.1
RFC 1344,RFC 2045
ITU F.701,ITU F.771
RFC 1229,RFC 1700
ITU G.8011.1,ITU G.709
ISO 13594,ISO 8348
RFC 2198,ITU H.323
ITU G.852.8,ITU G.852.2
ITU M.2101,ITU G.826
ITU Q.714,ITU Q.730
ITU Q.2210,ITU Q.2761
RFC 4657,RFC 4674
ISO 2593,ITU Q.811
ITU G.100,ITU G.114
ISO 10165-7,ITU M.3010
RFC 3484,RFC 3775
ISO 27002,ISO 15408
ISO 9594-4,ITU X.509
ITU X.518,ITU X.509
ISO 13818-3,ITU H.245
RFC 3945,ITU G.8081
RFC 2049,RFC 2045
RFC 3311,RFC 3312
RFC 1630,ITU X.509
ITU Y.1730,ITU G.8010
ITU G.722.2,ITU H.245
ISO 31,ISO 11179-3
ITU X.144,ITU X.36
ITU G.722.1,ITU H.323
RFC 3810,RFC 3775
RFC 2779,RFC 3428
ITU H.223,ITU H.248.1
ITU T.38,ITU H.323
ISO 8613,ITU T.101
ITU X.227,ITU X.701
ITU G.698.3,ITU G.652
ITU E.160,ITU E.164
ITU X.725,ITU M.3010
RFC 2630,RFC 3261
RFC 905,RFC 1700
ISO 639,ISO 10646
RFC 1737,RFC 2616
ITU X.223,ISO 8208
ITU H.242,ITU H.225.0
ITU G.101,ITU G.114
ISO 9072-2,ITU X.701
ITU X.110,ITU X.121
RFC 2018,ITU Y.1541
ITU X.226,ITU X.691
ISO 13865,ISO 13869
ITU M.1457-1,ITU Q.1742.1
ITU Y.110,ITU Y.2012
ITU G.8265.1,ITU G.8261
RFC 4086,RFC 4960
ITU Q.713,ITU Q.730
ITU Z.162,ITU Z.161
ITU Q.765,ITU Q.2761
ITU G.973,ITU G.654
RFC 2065,RFC 2136
ITU Q.1701,ITU Q.1711
RFC 1424,RFC 1750
RFC 2821,RFC 5280
ITU Y.1271,ITU Y.2701
ITU K.22,ITU K.39
RFC 3454,ITU X.520
RFC 1057,RFC 1981
RFC 3212,RFC 3471
ISO 9594-9,ITU X.509
ITU P.832,ITU P.340
ITU H.243,ITU H.323
RFC 1311,RFC 5741
ITU G.729.1,ITU G.729
ISO 27001,ISO 15408
ITU G.873.2,ITU G.709
RFC 4206,RFC 4202
ISO 13712-1,ISO 11582
RFC 2749,RFC 2753
ISO 8650-1,ITU X.701
ITU BO.1211,ITU J.83
ITU G.984.6,ITU G.709
RFC 3971,RFC 4862
RFC 2887,RFC 3048
RFC 2678,RFC 2679
ITU X.145,ITU X.144
ITU J.84,ITU J.183
RFC 3393,ITU Y.1540
RFC 3564,ITU Y.2111
ITU Q.2725.1,ITU Q.2761
ITU I.555,ITU X.144
ITU P.835,ITU G.107
ITU T.434,ITU H.245
ITU X.1601,ITU Y.3501
ISO 20000-1,ITU Y.3500
RFC 1058,RFC 1812
RFC 2463,RFC 3775
ISO 9899,ITU Z.104
ITU V.28,ITU V.24
RFC 2988,ITU H.810
RFC 3262,RFC 3312
ITU G.8264,ITU G.7041
ITU Q.2630.1,ITU H.248.1
ITU J.170,ITU E.800
ISO 639-2,ITU H.222.0
ITU H.248.14,ITU H.248.1
RFC 1450,RFC 1448
RFC 917,RFC 950
ITU Q.930,ITU Q.931
RFC 1885,RFC 3032
ITU T.82,ITU T.4
RFC 796,RFC 1812
ITU X.24,ITU V.11
RFC 1095,RFC 1700
ITU G.7044,ITU G.709
ISO 11179-3,ISO 15944-1
RFC 1546,RFC 2373
RFC 2827,RFC 3775
ISO 18092,ISO 31
ITU V.70,ITU H.323
RFC 1190,RFC 1700
ITU X.123,ITU X.121
ITU Q.2725.2,ITU Q.2761
ISO 8602,ITU T.123
ISO 10918-4,ITU T.44
ISO 8326,ITU X.711
RFC 1256,RFC 1700
RFC 1209,RFC 1483
RFC 903,RFC 1700
RFC 3056,RFC 3484
ITU H.450.1,ITU H.323
RFC 2405,RFC 2406
RFC 2710,RFC 3775
RFC 2002,RFC 3041
RFC 4960,ITU H.323
ISO 9594-7,ITU X.509
ITU I.327,ITU Y.1241
ITU G.979,ITU L.25
ITU X.525,ITU X.509
RFC 1331,RFC 1340
ITU Q.1902.4,ITU H.248.1
ITU Q.2933,ITU Q.2763
RFC 925,RFC 950
ITU K.10,ITU Q.552
ITU Q.1228,ITU Q.763
ITU Y.2702,ITU Y.2012
ITU K.26,ITU K.11
ITU K.54,ITU K.11
ISO 8650,ITU X.219
ITU X.212,ISO 8208
ITU Z.151,ITU Z.111
ITU X.880,ITU Q.1902.1
ISO 8859-8,ISO 10646
ITU E.600,ITU E.360.1
ITU X.803,ITU Q.812
ITU H.230,ITU H.323
ITU P.913,ITU J.343
ITU G.732,ITU G.826
ITU H.235.0,ITU H.248.1
ITU X.233,ISO 8473
RFC 1164,RFC 1163
ITU X.215,ITU X.711
ITU Y.1221,ITU Y.1541
ITU H.762,ITU H.763.1
ITU K.77,ITU K.65
ITU H.248.27,ITU H.248.19
ITU K.98,ITU K.44
ITU G.8001,ITU G.806
RFC 1108,RFC 1700
RFC 1933,RFC 3513
RFC 1218,RFC 1255
ITU Q.766,ITU Q.764
RFC 3490,RFC 5280
RFC 4447,RFC 5143
ITU P.800.1,ITU E.800
ITU M.3000,ITU M.3010
ISO 15408-2,ISO 15408
RFC 2109,RFC 2965
RFC 3023,RFC 4288
ISO 10164-3,ITU X.722
RFC 5654,ITU G.8110.1
RFC 3756,RFC 4862
ITU Q.701,ITU Q.2761
RFC 348,RFC 790
RFC 4090,RFC 4216
RFC 3320,RFC 3321
RFC 1949,RFC 2627
ITU Q.765.5,ITU H.248.1
RFC 2684,ITU G.8010
RFC 1573,RFC 1700
ITU T.51,ITU H.245
ITU F.811,ITU Q.2961.1
RFC 407,RFC 790
ITU Q.711,ITU Q.730
RFC 951,RFC 1700
RFC 3432,ITU Y.1541
ITU J.340,ITU J.343
RFC 2766,RFC 3303
RFC 1479,RFC 2154
ITU I.330,ITU Q.931
ITU Q.1001,ITU E.212
ISO 13872,ISO 13873
ITU I.353,ITU Y.1540
ISO 8859-6,ISO 10646
ITU H.224,ITU H.323
ITU Y.3501,ITU Y.1271
RFC 977,RFC 1738
RFC 2365,RFC 2543
ITU X.96,ISO 8208
ISO 14496,ITU H.245
RFC 2222,ITU X.511
ITU P.581,ITU P.340
ITU X.301,ISO 8208
RFC 1072,RFC 1700
ITU D.140,ITU D.93
ISO 8879,ISO 10646
ITU X.703,ITU M.3010
RFC 3987,ITU X.660
RFC 3174,RFC 3279
ITU Q.2963.2,ITU Q.2650
RFC 1277,ITU X.519
ITU E.161.1,ITU E.101
ITU Q.45,ITU O.9
ISO 1000,ISO 21000-1
ITU H.310,ITU H.323
RFC 2629,RFC 5741
ITU P.78,ITU P.64
ITU X.402,ITU X.501
ISO 16825,ISO 16824
ISO 0,ISO 8372
ITU M.3604,ITU M.3600
ITU G.8265,ITU G.8261
ITU Y.1710,ITU Y.2201
RFC 2001,ITU Y.1541
ITU G.775,ITU G.806
ITU I.630,ITU I.371
RFC 2408,RFC 3775
ISO 10181-3,ITU X.509
ISO 13868,ISO 13873
RFC 3086,ITU Y.1541
RFC 2139,RFC 2866
ITU G.988,ITU G.987.2
ITU G.983,ITU G.664
RFC 3066,RFC 4251
ITU H.248.18,ITU H.248.1
RFC 1893,RFC 3463
ITU V.574,ITU G.117
ITU G.755,ITU G.703
ITU E.721,ITU E.502
RFC 1150,RFC 5741
ITU H.248.32,ITU H.248.63
ITU Q.2961.3,ITU Q.2763
RFC 4303,ITU Y.2701
ITU O.152,ITU G.703
ITU CMTT.567,ITU J.61
RFC 1704,RFC 1949
ISO 10021-2,ITU X.501
ITU G.852.10,ITU G.852.2
ITU H.233,ITU H.245
ISO 4873,ISO 10646
ITU M.3060,ITU M.3020
ITU G.8275.1,ITU G.7041
RFC 4844,RFC 5741
ITU G.8012,ITU G.8021
RFC 2818,ITU Y.2701
ITU V.27,ITU H.248.1
ITU Q.1214,ITU Q.1741.2
RFC 3268,RFC 3261
ITU X.812,ITU X.509
ITU Q.771,ITU Q.730
RFC 2284,RFC 3588
RFC 2805,ITU H.248.1
RFC 3784,RFC 4202
ISO 8802-6,ISO 10589
RFC 3312,ITU Y.2111
RFC 318,RFC 790
RFC 958,RFC 1305
RFC 3694,RFC 4119
ISO 9995-4,ITU E.161
ITU I.366.1,ITU H.248.1
RFC 3630,RFC 5152
ITU X.732,ITU X.722
ISO 8482,ITU V.11
ITU F.750-4,ITU G.707
ITU M.1045,ITU M.1400
ITU M.1403,ITU M.3020
ITU G.650,ITU G.955
ITU G.984.5,ITU G.987.2
ITU P.59,ITU P.10
RFC 3688,RFC 5628
RFC 1327,RFC 1700
RFC 2357,RFC 2914
RFC 3267,ITU H.245
ISO 10745,ITU Q.812
ITU BT.812,ITU P.910
ITU H.248.47,ITU H.248.1
RFC 3084,RFC 3198
ITU G.853.8,ITU G.852.2
RFC 1964,RFC 4120
RFC 2154,RFC 2370
RFC 3748,RFC 5226
ITU Q.2610,ITU Q.2761
ITU G.8273,ITU G.8272
RFC 812,RFC 1340
RFC 2850,RFC 4844
ISO 3535,ITU F.184
ITU X.146,ITU X.36
ITU G.852.3,ITU G.852.2
ITU E.502,ITU E.360.1
ISO 1996-3,ITU P.800
ITU Q.822,ITU G.774
RFC 1104,RFC 1164
ITU K.75,ITU K.66
ITU J.186,ITU G.694.2
ISO 4217,ITU X.509
ITU E.165.1,ITU X.121
RFC 2196,RFC 4960
ITU Y.2014,ITU Y.2012
RFC 3428,RFC 3455
RFC 1825,RFC 2753
ISO 11179,ISO 11179-3
ISO 1745,ITU Q.2931
ITU H.235,ITU H.245
ISO 8509,ITU X.735
ITU K.7,ITU P.360
RFC 3061,ITU X.693
RFC 3966,ITU H.323
ITU Q.1213,ITU Q.65
ITU Q.1706,ITU Y.2012
RFC 1049,RFC 2045
ITU E.168.1,ITU E.164.1
ITU G.976,ITU G.977
RFC 3339,ITU H.810
RFC 713,RFC 753
RFC 1195,RFC 1812
ITU M.3603,ITU M.3600
ITU F.910,ITU E.121
ITU H.248.26,ITU H.248.34
ITU M.85,ITU M.1560
RFC 1115,RFC 1319
ITU J.144,ITU P.913
ITU G.8031,ITU G.8021
ISO 27729,ITU Y.3500
ITU I.366.2,ITU H.248.1
ITU H.812,ITU H.810
ITU H.812.3,ITU H.810
ITU G.827,ITU G.784
RFC 2681,ITU Y.1541
RFC 2961,ITU G.7712
ITU I.233.1,ITU Q.922
RFC 2035,RFC 2435
ITU Q.1902.2,ITU Q.1902.1
RFC 1349,RFC 1700
ITU K.91,ITU K.100
ITU P.805,ITU P.1301
RFC 4714,RFC 4844
ITU J.160,ITU J.170
ITU G.8201,ITU G.806
RFC 4446,RFC 5226
ITU V.29,ITU H.248.1
ITU G.983.5,ITU G.983.1
RFC 1275,RFC 1276
ISO 8372,ITU H.233
RFC 1114,RFC 1319
ITU P.82,ITU P.800
ITU P.833,ITU G.107
RFC 460,RFC 459
ITU Z.163,ITU Z.161
ITU V.10,ITU V.24
ITU Z.109,ITU Z.100
ITU Q.512,ITU M.3200
RFC 3321,RFC 4077
ITU G.960,ITU G.902
RFC 3323,ITU J.366.4
ITU G.983.4,ITU G.983.1
RFC 2750,RFC 2753
ISO 9735,ITU T.4
RFC 1766,ITU H.225.0
ITU I.365.1,ITU M.1400
ITU Q.1702,ITU Y.2201
ISO 1087-1,ISO 11179-3
RFC 3515,ITU J.178
ITU Q.706,ITU Q.764
ITU Y.1401,ITU Y.1241
ISO 1996-1,ITU P.800
ITU E.500,ITU E.502
ITU Y.3502,ITU X.1601
ITU G.767,ITU G.114
RFC 4656,RFC 5357
RFC 2535,RFC 2663
ITU Q.1301,ITU Q.1300
ITU Q.1302,ITU Q.1300
ITU I.414,ITU Y.1241
ITU G.1020,ITU Y.1541
RFC 904,RFC 1812
ITU E.131,ITU E.164
ITU E.29,ITU E.164
ITU E.331,ITU E.164
ITU H.248.43,ITU H.248.37
RFC 2181,RFC 3490
ITU Z.164,ITU Z.110
ITU M.3620,ITU M.3600
RFC 960,RFC 966
RFC 3493,RFC 4213
ISO 266,ITU P.800
ITU K.33,ITU K.34
RFC 1443,RFC 1448
ITU T.435,ISO 10000-2
ITU V.90,ITU H.248.1
ISO 29100,ITU X.1601
ITU D.390,ITU Q.764
ITU Q.724,ITU H.248.1
RFC 994,RFC 1247
ITU H.460.1,ITU H.460.14
ITU G.8040,ITU G.7041
RFC 3344,RFC 3588
RFC 3048,RFC 3452
ITU H.763.1,ITU H.730
ITU D.93,ITU E.212
ITU K.29,ITU K.11
ITU G.852.6,ITU G.852.2
ITU J.143,ITU J.144
RFC 815,ITU G.983.2
RFC 4279,ITU Y.2702
RFC 3704,ITU H.248.37
ITU L.66,ITU L.25
ISO 24824-1,ITU X.693
RFC 1894,RFC 1893
RFC 5378,RFC 5741
ITU J.163,ITU J.122
RFC 4787,RFC 5382
ITU Q.767,ITU Q.764
ITU P.916,ITU P.913
RFC 3917,ITU Y.1543
ISO 13239,ITU H.245
ITU G.842,ITU G.806
ITU I.325,ITU G.826
RFC 2132,RFC 5226
RFC 1847,RFC 3261
ITU G.8261.1,ITU G.8260
ITU V.22,ITU H.248.1
ITU Q.115,ITU Q.764
RFC 2362,ITU J.283
RFC 4204,RFC 4202
ITU M.3640,ITU M.3600
ISO 10746-1,ITU X.903
ITU Q.1761,ITU Y.2201
RFC 2866,RFC 3588
RFC 2418,RFC 3979
ISO 11578,ITU H.264
ITU M.3602,ITU M.3600
RFC 2733,ITU H.245
ITU M.3050.0,ITU M.3020
RFC 4412,ITU Y.1271
ISO 9646-6,ITU X.290
RFC 2544,ITU G.8013
ITU G.989.1,ITU G.989.2
RFC 5280,ITU X.509
ITU T.121,ITU T.120
ITU P.561,ITU P.10
RFC 2965,RFC 3041
RFC 2743,RFC 4251
ITU K.57,ITU K.11
ISO 17799,ITU E.409
ITU G.7714,ITU G.784
ITU E.409,ITU X.1601
RFC 1144,RFC 1191
ITU G.853.10,ITU G.852.2
RFC 139,RFC 318
ITU Y.2021,ITU Y.2012
ITU F.771,ITU Y.2213
ITU Q.2941.1,ITU H.248.1
RFC 3035,RFC 3032
ITU Q.1742.1,ITU Y.2091
ITU M.1020,ITU M.1400
ISO 7811-1,ITU E.118
ITU H.248.23,ITU H.248.34
ITU G.651,ITU G.955
ITU X.739,ITU X.701
RFC 4033,ITU Y.2701
ITU E.118,ITU E.101
ITU J.185,ITU G.694.2
ITU Q.752,ITU M.3200
ITU P.861,ITU G.108
ITU F.750,ITU G.707
ISO 2382,ISO 11179-6
RFC 3198,ITU H.248.43
ISO 8823,ITU X.208
ISO 8885,ITU Q.922
ITU G.987.1,ITU G.987.2
RFC 1185,RFC 2993
ITU Q.1742.2,ITU Q.1706
ITU F.184,ITU Q.931
ITU Q.2961.6,ITU Q.2763
ITU G.8121,ITU G.798
ITU Q.774,ITU Q.730
ITU T.126,ITU T.120
ITU V.150.0,ITU V.152
ITU G.808,ITU G.798
RFC 4120,ITU J.170
RFC 726,RFC 1700
RFC 814,RFC 917
RFC 3263,RFC 3261
ISO 7501,ISO 7501-3
ITU E.771,ITU F.115
ITU Q.50,ITU Q.52
RFC 817,RFC 1812
RFC 1950,RFC 2616
ITU Q.2150.0,ITU Q.1902.1
ITU G.7714.1,ITU G.709
ITU X.85,ITU G.707
ITU M.3016.2,ITU Y.2701
ITU T.127,ITU T.120
ITU G.992.4,ITU G.997.1
ISO 9574,ISO 8208
ITU G.7043,ITU G.8021
ITU G.8263,ITU G.8260
ITU Q.9,ITU M.1400
ISO 1996-2,ITU P.800
RFC 3310,ITU J.366.4
RFC 66,RFC 76
RFC 3424,RFC 4787
ITU Q.712,ITU Q.730
ITU M.1457,ITU Q.1741.2
RFC 4202,ITU G.8081
ITU F.115,ITU Q.1711
RFC 76,RFC 114
RFC 5143,RFC 5741
RFC 819,RFC 830
ISO 9066-2,ITU X.219
RFC 4271,RFC 5226
ISO 15408-3,ISO 15408
ITU BT.601-6,ITU H.222.0
RFC 2250,ITU H.225.0
RFC 908,RFC 1700
RFC 3448,RFC 5085
ITU M.687-2,ITU Q.1711
ISO 13818,ITU H.222.0
ITU X.263,ISO 8208
RFC 1274,RFC 1700
ITU J.342,ITU J.343.4
ISO 8859-2,RFC 2068
ISO 8859-3,RFC 2068
ISO 8859-4,RFC 2068
RFC 2612,RFC 2828
RFC 869,RFC 1700
RFC 2976,RFC 3261
ITU G.1040,ITU G.1030
RFC 5357,ITU Y.1543
ITU G.708,ITU X.85
ITU I.312,ITU Q.1213
ITU Q.2725.3,ITU Q.2761
RFC 1105,RFC 1237
ISO 10000-2,ITU Q.811
ITU J.162,ITU J.122
ITU Y.2205,ITU Y.2091
ITU G.8271.1,ITU G.8271
ITU G.8032,ITU G.8021
RFC 1971,RFC 2462
RFC 2746,RFC 2998
RFC 2608,RFC 2824
ISO 10021-4,ITU X.509
ITU Q.2961.4,ITU Q.2763
RFC 3472,RFC 3471
ISO 13863,ISO 13874
ITU Y.3510,ITU Y.1271
RFC 2168,RFC 2915
ITU H.248.13,ITU Q.3303.2
ITU L.53,ITU L.25
ISO 13874,ISO 13869
ITU X.29,ISO 8208
ISO 9066-1,ITU X.219
RFC 2368,RFC 3261
RFC 4862,ITU G.988
RFC 2440,RFC 2974
RFC 1991,RFC 2543
RFC 3713,RFC 4051
RFC 1094,RFC 2054
RFC 2705,ITU J.162
ITU X.420,ITU X.411
ISO 18045,ISO 15408
ITU G.993.5,ITU G.997.1
ITU G.998.4,ITU G.997.1
ITU G.711.0,ITU G.191
ISO 15802-3,ITU J.122
ITU V.43,ITU V.24
ITU F.440,ITU X.400
ITU X.295,ITU X.290
ISO 10373-6,ISO 7501
ITU G.666,ITU G.650.2
RFC 4251,RFC 4252
ITU Y.2720,ITU Y.2012
RFC 3916,RFC 4448
ISO 6523-2,ITU X.660
ITU E.360.3,ITU Y.1291
ITU Z.450,ITU Z.100
RFC 2459,RFC 3279
RFC 1174,RFC 1518
RFC 2386,RFC 2702
RFC 5627,ITU J.366.4
RFC 3579,RFC 4016
ITU P.76,ITU P.64
RFC 824,RFC 1340
ITU G.853.2,ITU G.852.2
ISO 7501-3,ISO 15944-1
ITU H.248.4,ITU H.248.1
RFC 1771,RFC 2328
RFC 4385,RFC 5586
ITU E.450,ITU E.451
ITU I.580,ITU Q.2951
RFC 597,RFC 1000
RFC 3415,RFC 3410
RFC 4511,ITU X.509
RFC 2385,RFC 2663
RFC 4379,RFC 5586
RFC 2661,RFC 2868
ITU Q.2961,ITU I.356
ISO 10646-2,ISO 10646
RFC 4340,RFC 5226
RFC 894,RFC 1700
RFC 3546,ITU Y.2701
RFC 1570,ITU G.7714.1
ITU K.55,ITU K.11
ITU X.891,ITU X.693
ISO 8327-1,ITU X.217
ITU Q.1990,ITU Q.1902.1
RFC 753,RFC 841
ITU Q.2965.1,ITU H.248.1
ISO 10164-11,ITU X.701
ITU G.8275,ITU G.8275.1
ISO 10746-4,ITU X.903
ITU J.179,ITU J.360
ISO 10918-3,ITU H.245
RFC 2370,ITU E.360.1
ISO 13866,ISO 13870
ITU P.863,ITU G.107
RFC 4302,ITU Y.2701
ITU M.3050,ITU M.3020
ITU E.360.1,ITU E.800
ITU H.248.45,ITU Q.3303.2
RFC 732,RFC 1700
ISO 15054,ISO 15056
ITU P.342,ITU P.340
ISO 15285,ISO 10646
ITU P.502,ITU P.340
RFC 5389,ITU J.366.4
