source,target
ITU M.3100,ITU G.709
ITU M.1012,ITU M.1400
ITU M.1013,ITU M.1400
RFC 3550,ITU H.248.1
ITU I.362,ITU Q.2761
ITU E.720,ITU E.771
ITU X.693,ISO 8824-1
ITU G.806,ITU G.707
RFC 741,RFC 1700
ITU D.12,ISO 8208
ITU I.356,ITU H.323
ITU L.46,ITU L.103
ITU Q.23,ITU G.168
ITU J.19,ITU J.167
ISO 7498-3,ITU X.200
ITU K.5,ITU K.11
ITU K.6,ITU K.11
ITU Q.500,ITU M.3200
ITU Q.1215,ITU Q.1231
ITU K.21,ITU K.11
ITU E.490,ITU E.360.1
ISO 8825-4,ISO 8824-1
ITU F.182,ITU Q.931
ITU V.2,ITU G.168
ITU Q.271,ITU G.168
ITU E.425,ITU E.470
ITU E.431,ITU E.470
RFC 885,RFC 1700
RFC 907,RFC 1191
RFC 1087,RFC 1135
ITU G.826,ITU G.957
ITU E.731,ITU E.360.1
ITU N.4,ITU D.180
ITU N.52,ITU D.180
ITU N.54,ITU D.180
ITU K.39,ITU K.20
ITU I.251.1,ITU Q.2951
ITU I.610,ITU I.371
ITU G.692,ITU G.652
ITU G.824,ITU G.783
ITU Q.12,ITU Q.764
ITU I.231.10,ITU M.1400
ITU Q.28,ITU Q.762
ITU X.208,ITU M.3100
ITU M.70,ITU M.20
ITU Q.22,ITU M.20
ITU F.721,ITU Q.931
ITU M.560,ITU P.10
ITU M.565,ITU P.10
RFC 988,RFC 1112
ITU G.227,ITU G.993.1
ITU E.540,ITU E.671
ITU H.245,ITU H.248.1
ITU X.121,ISO 8208
ITU O.42,ITU G.992.3
ITU G.852.2,ITU G.8080
ITU H.248.10,ITU Q.1950
RFC 2396,RFC 3261
ITU I.121,ITU M.1400
ISO 10646-1,ISO 10646
ITU K.13,ITU K.11
ITU K.19,ITU K.11
ITU K.30,ITU K.11
ITU K.9,ITU K.11
ITU G.172,ITU G.101
RFC 5,ITU H.222.0
ITU X.691,ISO 8824-1
ITU G.650.2,ITU G.652
RFC 2234,ITU H.248.1
ITU E.414,ITU E.417
ITU X.92,ITU X.76
ITU G.693,ITU G.652
ITU I.420,ITU X.300
ITU Q.112,ITU Q.115
ITU O.91,ITU M.4030
ITU E.711,ITU E.716
ITU K.66,ITU K.46
ITU E.520,ITU E.360.1
RFC 733,RFC 788
ITU G.654,ITU G.957
ITU I.413,ITU I.371
ITU M.20,ITU G.806
ISO 2015,ISO 11179-6
ITU Q.80,ITU Q.737.1
ITU I.410,ITU G.995.1
ITU E.430,ITU G.174
ITU E.190,ITU E.164
ITU M.762,ITU M.1510
ITU M.570,ITU M.2110
ITU G.812,ITU G.703
RFC 2045,ITU H.323
RFC 2327,ITU H.248.1
ITU O.71,ITU M.4030
ITU O.161,ITU M.2120
ITU O.163,ITU M.2120
ITU E.106,ITU H.248.1
ITU X.290,ISO 8208
RFC 858,RFC 1700
ITU G.811,ITU G.703
RFC 1170,RFC 1422
RFC 1700,RFC 2616
RFC 1929,RFC 2356
ITU G.983.1,ITU G.652
RFC 697,RFC 775
ISO 8825-2,ISO 8824-1
ITU F.14,ITU M.1560
ITU I.254.2,ITU F.853
ITU E.543,ITU E.502
ISO 7812,ITU X.25
ITU X.131,ITU X.110
ITU Q.29,ITU Q.1218
ITU K.15,ITU K.37
ITU K.32,ITU K.37
ITU F.60,ITU Q.931
ITU Q.2761,ITU I.371
ITU Z.119,ITU Z.109
RFC 1191,RFC 1700
ITU Q.1031,ITU Q.850
ITU G.191,ITU G.729
ITU G.602,ITU G.972
RFC 462,ISO 16
ITU M.1014,ITU M.1510
ITU M.725,ITU M.1510
ITU N.1,ITU M.1510
ISO 3309,ITU G.707
ITU I.252.5,ITU Q.732.2
ITU Q.310,ITU Y.2261
ITU Q.143,ITU G.168
ITU X.60,ITU X.300
ISO 1994,ISO 11579-1
ITU D.94,ITU Y.2233
ITU Q.781,ITU M.4100
ITU Q.782,ITU M.4100
RFC 653,RFC 1700
RFC 658,RFC 1700
ITU G.212,ITU P.561
ITU E.713,ITU E.733
ITU X.500,ITU X.509
RFC 818,RFC 1340
RFC 789,RFC 4593
ITU G.754,ITU M.1400
ITU G.813,ITU G.783
ITU T.4,ISO 8824-1
ITU Q.721,ITU Q.1912.2
ITU M.1040,ITU M.1340
ITU G.662,ITU G.671
ITU Q.259,ITU O.11
ITU Q.921,ITU H.248.1
ITU Q.451,ITU H.248.29
ITU Q.601,ITU Q.115
ITU E.428,ITU E.470
ITU E.175,ITU E.502
ITU F.901,ITU E.138
ITU G.795,ITU P.10
ITU G.941,ITU P.10
ITU Q.276,ITU Q.2765
ITU Z.165,ITU Z.110
ITU Z.166,ITU Z.110
ITU Z.168,ITU Z.110
ITU Z.169,ITU Z.110
ITU Z.170,ITU Z.110
ITU I.421,ITU X.300
RFC 698,RFC 1700
ITU J.17,ITU H.222.0
ITU X.181,ITU X.300
ITU Q.617,ITU Q.1912.2
ITU Q.627,ITU Q.1912.2
ISO 115794,ISO 11579-1
ITU X.353,ITU X.110
ITU I.253.2,ITU F.853
ITU X.324,ITU X.300
ITU H.22,ITU H.248.19
ITU E.360.5,ITU Y.1291
ITU E.360.6,ITU Y.1291
ITU E.360.7,ITU Y.1291
RFC 1034,ITU H.323
ITU X.660,ISO 8824-1
ISO 9834,ISO 8824-1
ITU Q.442,ITU H.248.29
ITU Q.457,ITU H.248.29
ITU Q.458,ITU H.248.29
ITU X.52,ITU X.31
RFC 3031,ITU G.8010
RFC 1889,RFC 3261
ITU M.1400,ITU G.709
RFC 1155,RFC 1700
ITU R.52,ITU O.153
ITU H.225.0,ITU H.248.1
RFC 1661,ITU H.248.1
ITU O.61,ITU O.22
ITU Q.153,ITU O.22
ITU Q.154,ITU O.22
ISO 7776,ISO 8208
ITU Q.31,ITU G.120
ITU I.231.4,ITU M.1400
ITU I.231.5,ITU M.1400
ITU M.1055,ITU M.1400
ITU R.70,ITU M.1400
ITU E.191,ITU E.164
RFC 1123,RFC 3261
ITU I.256.3,ITU Q.736.3
ITU M.35,ITU M.2100
RFC 735,RFC 1700
ITU M.723,ITU M.4010
ITU M.724,ITU M.4010
ITU Q.251,ITU M.4010
ITU Q.253,ITU M.4010
ITU Q.263,ITU M.4010
ITU Q.264,ITU M.4010
ITU Q.265,ITU M.4010
ITU Q.292,ITU M.4010
ITU F.160,ITU X.400
ITU F.410,ITU X.400
ITU X.722,ITU G.851.1
ITU G.664,ITU G.783
ISO 13818-1,ITU H.245
RFC 654,RFC 1700
RFC 655,RFC 1700
RFC 656,RFC 1700
RFC 657,RFC 1700
RFC 861,RFC 1700
RFC 938,RFC 1700
ITU E.423,ITU M.1230
ITU E.424,ITU M.1230
ITU E.426,ITU M.1230
ITU E.433,ITU M.1230
ITU M.1235,ITU M.1230
ITU M.730,ITU M.1230
ITU Q.320,ITU I.366.2
ITU Q.322,ITU I.366.2
ITU Q.323,ITU I.366.2
ITU K.71,ITU K.20
ITU Q.763,ITU H.248.1
ITU G.796,ITU M.1375
RFC 2409,ITU H.248.1
ITU V.7,ITU T.123
RFC 1295,RFC 1430
ITU I.200,ITU I.570
ITU E.700,ITU E.750
ITU E.712,ITU E.750
ITU G.729,ITU H.248.1
RFC 2475,RFC 2474
ITU Q.140,ITU Q.1912.2
ITU Q.646,ITU Q.1912.2
ITU Q.667,ITU Q.1912.2
ITU Q.675,ITU Q.1912.2
ITU Q.686,ITU Q.1912.2
ITU Q.690,ITU Q.1912.2
ITU Q.692,ITU Q.1912.2
ITU Q.694,ITU Q.1912.2
ITU Q.695,ITU Q.1912.2
RFC 979,RFC 985
ISO 3166,ITU G.709
ISO 9646-1,ISO 8208
ITU Q.114,ITU G.720
ITU Q.151,ITU G.720
ITU Q.454,ITU G.720
ITU Q.455,ITU G.720
ITU G.224,ITU M.1050
ITU M.1010,ITU M.1050
ITU M.1030,ITU M.1050
ITU O.95,ITU M.1050
RFC 1314,RFC 1700
ITU I.130,ISO 5428
RFC 913,RFC 1340
RFC 6,ITU H.248.87
ITU G.798,ITU G.709
ITU F.17,ITU F.600
ITU Q.2,ITU G.769
ITU I.255.5,ITU Q.824.2
ISO 4903,ITU V.11
ITU K.45,ITU K.20
RFC 2406,ITU H.248.1
RFC 1824,RFC 2828
RFC 972,RFC 1340
RFC 569,RFC 880
RFC 871,RFC 880
ITU G.872,ITU G.709
ISO 8601,ISO 8824-1
ITU D.11,ITU X.283
RFC 2398,RFC 4614
RFC 872,RFC 4614
ITU Q.3403,ITU Q.1912.5
ITU Q.3617,ITU Q.1912.5
ITU Q.3620,ITU Q.1912.5
ITU Q.3621,ITU Q.1912.5
ITU Q.3622,ITU Q.1912.5
ITU Q.3624,ITU Q.1912.5
ITU Q.3625,ITU Q.1912.5
ITU Q.3627,ITU Q.1912.5
ITU Q.3629,ITU Q.1912.5
RFC 408,ITU Q.1912.5
RFC 1822,RFC 4949
RFC 10,RFC 1000
RFC 111,RFC 1000
RFC 28,RFC 1000
RFC 328,RFC 1000
RFC 343,RFC 1000
RFC 434,RFC 1000
RFC 487,RFC 1000
RFC 61,RFC 1000
RFC 700,RFC 1000
ITU G.650.1,ITU G.652
ITU E.123,ITU E.164
ISO 8473,ITU Q.2931
RFC 2616,RFC 3261
ITU G.722,ITU Q.931
ITU P.50,ITU G.191
ITU E.164.1,ITU E.164
ISO 8859-1,ISO 10646
ITU G.114,ITU I.356
ITU H.222.0,ITU H.323
RFC 1750,RFC 3261
ISO 8877,ITU I.430
RFC 2474,ITU Y.1541
ITU G.698.1,ITU G.652
ITU I.432.2,ITU G.707
ISO 4902,ITU V.24
ITU A.1,ITU A.5
ITU X.701,ITU M.3010
ITU M.3020,ITU M.3010
ISO 6523,ISO 8824-1
ISO 9577,ITU H.248.1
ITU X.721,ITU G.851.1
ITU Y.2012,ITU Y.2111
ITU I.432.1,ITU G.707
ITU Q.2961.1,ITU H.248.1
RFC 1832,RFC 1831
ITU P.910,ITU P.911
RFC 1890,ITU H.248.1
RFC 1212,RFC 1812
ITU G.955,ITU G.957
RFC 1052,RFC 1155
RFC 3209,RFC 3471
ITU I.112,ITU Q.761
ITU G.784,ITU G.783
ITU Y.1541,ITU H.245
ITU G.695,ITU G.652
ISO 9542,ISO 10646
ITU K.50,ITU K.11
ITU X.75,ISO 8208
ITU Q.2763,ITU I.371
RFC 1035,RFC 1700
ITU I.430,ITU Q.931
ITU Y.1540,ITU Y.1541
ITU Q.764,ITU H.248.1
ITU G.661,ITU G.671
ITU X.209,ITU X.290
RFC 2402,ITU H.248.1
RFC 2578,RFC 2579
ITU X.720,ITU M.3010
ITU K.67,ITU K.46
ITU E.212,ITU E.190
ITU E.168,ITU E.164
ITU Y.2111,ITU Y.2012
ITU M.3200,ITU M.3010
ITU Q.2764,ITU I.371
ITU G.728,ITU H.323
ISO 10173,ITU I.431
ITU H.320,ITU H.248.1
ITU G.997.1,ITU M.1400
ITU V.24,ITU V.25
ITU M.3400,ITU M.3010
ITU K.28,ITU K.46
ITU X.700,ITU M.3010
ITU M.60,ITU G.826
ITU X.501,ITU X.509
ITU P.56,ITU G.191
ITU G.8080,ITU G.809
ITU P.57,ITU P.64
ISO 9594-8,ITU X.509
RFC 1006,ITU H.248.1
ITU G.870,ITU G.783
ISO 11582,ITU H.323
ITU G.853.1,ITU G.852.2
ITU Q.2963.1,ITU I.371
ITU H.264,ITU H.323
ITU I.431,ITU Q.931
ISO 3166-1,ISO 8348
ISO 8073,ISO 8348
ITU G.994.1,ITU M.1400
ITU G.7041,ITU G.707
ITU G.841,ITU G.707
RFC 2046,RFC 3261
ITU A.5,ITU A.2
ITU V.11,ITU G.703
ITU V.25,ITU V.24
RFC 1305,RFC 2616
ISO 13871,ITU H.225.0
ISO 10040,ITU M.3010
ITU T.120,ITU H.248.1
ISO 10165-4,ITU G.851.1
RFC 966,RFC 988
RFC 2104,RFC 3410
ITU Q.704,ITU Q.2761
ITU E.166,ITU E.164
RFC 2246,ITU Y.2111
ITU H.261,ITU Q.931
ITU G.131,ITU G.114
RFC 1519,RFC 1700
ITU J.83,ITU J.112
ISO 9595,ITU G.783
ITU E.121,ITU E.123
RFC 1045,RFC 1112
ITU Z.111,ITU Z.100
RFC 761,RFC 3261
RFC 1247,RFC 1519
ITU G.8010,ITU G.806
ITU G.8260,ITU G.703
ITU G.983.3,ITU G.671
RFC 1156,RFC 1155
RFC 778,RFC 1305
ITU G.107,ITU G.114
ITU G.832,ITU G.803
RFC 1831,RFC 1832
ITU G.113,ITU P.800
RFC 2579,RFC 2580
ITU K.65,ITU K.11
RFC 2461,RFC 2462
ITU T.35,ITU H.245
RFC 2373,ITU H.248.1
ITU Z.101,ITU Z.100
ITU T.30,ITU X.509
ISO 5428,ISO 10646
ITU G.164,ITU V.25
RFC 3264,RFC 3261
ITU G.809,ITU G.8010
ITU L.41,ITU L.25
ISO 11572,ITU Q.931
ISO 9594-2,ITU X.509
ITU I.150,ITU I.371
ITU L.25,ITU L.41
ITU G.984.2,ITU G.652
ITU T.123,ITU H.323
RFC 2212,RFC 2215
ISO 10589,ISO 8348
ITU P.64,ITU P.57
ITU J.149,ITU J.144
RFC 2960,RFC 3261
RFC 4566,ITU H.248.1
RFC 3032,ITU G.7041
ITU J.202,ITU J.200
RFC 2211,RFC 2215
ISO 10165-2,ITU G.851.1
ITU X.710,ITU X.722
RFC 802,RFC 851
ITU E.169.1,ITU E.164
ITU Z.120,ITU Z.121
RFC 959,ITU Y.1541
RFC 790,RFC 802
ITU Q.65,ITU Z.100
ISO 6429,ISO 10646
ISO 8878,ISO 8208
ITU Q.922,ITU Q.2931
ITU Q.2110,ITU Q.2761
ITU P.79,ITU P.57
ITU Z.104,ITU Z.100
ITU X.731,ITU G.806
ITU Z.140,ITU Z.143
ITU G.7121,ITU G.712
RFC 3986,ITU H.323
ITU BT.601,ITU P.910
RFC 3693,RFC 3694
ITU X.805,ITU Y.2701
RFC 850,RFC 2616
RFC 2330,ITU Y.1541
RFC 740,RFC 790
ITU I.113,ITU I.371
ITU G.665,ITU G.662
ITU I.732,ITU G.783
ITU K.51,ITU K.50
ITU J.200,ITU J.202
ITU F.700,ITU Q.931
ITU G.992.3,ITU G.997.1
ISO 6093,ISO 8825
RFC 1883,RFC 2402
RFC 1109,RFC 1155
ITU G.821,ITU G.826
ISO 13522-5,ITU J.202
ISO 8825-3,ISO 8824-1
RFC 3473,RFC 3471
ISO 15408,ISO 15408-2
ITU G.8251,ITU G.959.1
RFC 3471,ITU Y.2011
RFC 1812,RFC 2474
RFC 2141,ITU X.693
ITU G.780,ITU G.707
ITU Y.2701,ITU Y.2012
RFC 2215,RFC 2212
RFC 788,RFC 821
ITU X.21,ITU Q.931
ITU P.340,ITU P.64
ISO 6937,ISO 10646
ISO 8649,ITU X.701
RFC 1338,RFC 1518
ISO 10165-1,ITU M.3010
RFC 1738,ITU H.225.0
ITU I.320,ITU G.805
ITU X.207,ITU X.210
RFC 2216,RFC 2212
ITU G.982,ITU G.671
RFC 2210,RFC 2211
ITU O.41,ITU G.191
RFC 5234,ITU H.323
ITU P.10,ITU Y.1540
ITU K.52,ITU K.61
ITU Z.143,ITU Z.140
RFC 1518,RFC 1700
ITU Q.2140,ITU Q.2761
ITU G.117,ITU O.9
RFC 1423,RFC 1700
ITU G.7712,ITU G.709
ITU X.36,ITU X.121
ITU I.326,ITU G.803
RFC 762,RFC 768
RFC 896,RFC 2309
