source,target,source_color,target_color,similarity
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.5/2005_01_1_en..pdf,#B54343,#B54343,0.9999999999999997
itu/G.992.5/2005_01_1_en..pdf,itu/G.961/1993_03_0_en..pdf,#B54343,#7C43B5,0.8521633805855683
itu/G.992.5/2005_01_1_en..pdf,itu/G.994.1/2003_05_1_en..pdf,#B54343,#7C43B5,0.39699732255803416
itu/G.992.5/2005_01_1_en..pdf,itu/G.996.1/2001_02_0_en..pdf,#B54343,#7C43B5,0.6839298610636948
itu/G.992.5/2005_01_1_en..pdf,itu/G.997.1/2003_05_1_en..pdf,#B54343,#7C43B5,0.8112714291846775
itu/G.992.5/2005_01_1_en..pdf,itu/G.992.3/2005_01_1_en..pdf,#B54343,#B54343,0.9511037154569025
itu/G.992.5/2005_01_1_en..pdf,itu/G.995.1/2001_02_2_en..pdf,#B54343,#7C43B5,0.7693102796084684
